"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"2014","Ireland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","13,241.831",""
"2015","Ireland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","13,924.570",""
"2016","Ireland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,610.795",""
"2017","Ireland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,390.578",""
"2018","Ireland","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","14,543.765",""
"2009","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","29,323.409",""
"2010","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","27,108.239",""
"2011","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","26,548.939",""
"2012","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","26,393.146",""
"2013","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","23,280.692",""
"2014","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","23,139.251",""
"2015","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","23,229.298",""
"2016","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","22,902.612",""
"2017","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","23,122.920",""
"2018","Greece","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","22,418.216",""
"2009","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","123,383.344",""
"2010","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","123,340.211",""
"2011","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","122,978.389",""
"2012","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","123,411.074",""
"2013","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","116,063.879",""
"2014","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","114,199.831",""
"2015","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","118,602.103",""
"2016","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","119,294.878",""
"2017","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","125,792.738",""
"2018","Spain","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","124,629.784",""
"2009","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","246,321.918",""
"2010","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","254,447.194",""
"2011","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","249,188.691",""
"2012","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","249,148.934",""
"2013","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","250,374.641",""
"2014","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","239,769.395",""
"2015","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","244,402.481",""
"2016","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","240,109.898",""
"2017","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","239,152.152",""
"2018","France","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","238,910.179",""
"2009","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","8,953.677",""
"2010","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","8,859.235",""
"2011","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","8,648.126",""
"2012","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","8,178.325",""
"2013","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","8,001.294",""
"2014","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","7,597.697",""
"2015","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","7,958.196",""
"2016","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","8,046.044",""
"2017","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","8,330.485",""
"2018","Croatia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","8,178.387",""
"2009","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","164,083.507",""
"2010","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","167,284.477",""
"2011","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","162,004.633",""
"2012","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","156,560.636",""
"2013","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","152,051.731",""
"2014","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","142,658.341",""
"2015","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","149,124.203",""
"2016","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","147,971.065",""
"2017","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","148,947.608",""
"2018","Italy","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","147,243.533",""
"2009","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,769.754",""
"2010","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,675.242",""
"2011","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,646.331",""
"2012","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,501.146",""
"2013","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,176.605",""
"2014","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,222.653",""
"2015","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,275.961",""
"2016","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,426.224",""
"2017","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,534.776",""
"2018","Cyprus","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","2,548.271",""
"2009","Latvia","Primary energy consumption (Europe 2020-2030)","Total","Thousand tonnes of oil equivalent (TOE)","4,433.833",""
